dni,asesor,area,sede,fecha_ingreso,estado_trabajador,anio,mes,periodo,aprobacion_inmediata_pct,horas_conexion_acumulado,horas_conexion_pct,tmo_minutos,nps_pct,calidad_pct,tipificacion_crm_pct,nota_examen,atendidas,reg_crm,nc_aprobacion,nc_horas_conexion,nc_tmo,nc_nps,nc_calidad,nc_tipificacion,alerta_aprobacion,alerta_horas_conexion,alerta_tmo,alerta_nps,alerta_calidad,alerta_tipificacion,score_final,semaforo_actual,tmo_original_bronze,semaforo_mes_siguiente,score_mes_siguiente,periodo_siguiente
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,01,2024-01,45.0,164.42277777777778,79.39722222222223,6.0595,76.94,77.4,86.94444444444444,14.0,18222.0,15854.0,0.0,0.0,0.0,150.0,37.0,69.44,Crítico,Crítico,Crítico,Adecuado,Crítico,Crítico,53.69,Rojo,6.87,Rojo,69.06,2024-02
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,02,2024-02,55.0,155.91555555555556,81.31166666666667,5.8525,72.34,82.85714285714286,85.9375,14.928571428571429,14498.0,12332.0,150.0,0.0,14.75,116.4,64.29,59.38,Adecuado,Crítico,Crítico,Adecuado,Crítico,Crítico,69.06,Rojo,6.67,Ámbar,71.91,2024-03
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,03,2024-03,50.0,169.7323076923077,81.96076923076923,5.847222222222222,77.88,79.72222222222223,89.2,14.5,13653.0,12130.0,100.0,0.0,15.28,150.0,48.61,92.0,Adecuado,Crítico,Crítico,Adecuado,Crítico,Por mejorar,71.91,Ámbar,6.94,Rojo,65.96,2024-04
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,04,2024-04,45.0,157.76333333333332,79.11095238095238,5.749333333333333,75.59,81.3157894736842,89.57894736842105,14.68421052631579,18993.0,17017.0,0.0,0.0,25.07,148.9,56.58,95.79,Crítico,Crítico,Crítico,Adecuado,Crítico,Por mejorar,65.96,Rojo,6.98,Rojo,24.11,2024-05
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,05,2024-05,45.0,171.3035294117647,82.71941176470588,5.888823529411765,61.94,81.47058823529412,84.44444444444444,15.058823529411764,14130.0,11869.0,0.0,0.0,11.12,12.4,57.35,44.44,Crítico,Crítico,Crítico,Crítico,Crítico,Crítico,24.11,Rojo,6.84,Ámbar,85.85,2024-06
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,06,2024-06,55.0,157.36052631578949,78.90947368421052,5.87,76.95,87.0,89.5,15.6,17707.0,15909.0,150.0,0.0,13.0,150.0,85.0,95.0,Adecuado,Crítico,Crítico,Adecuado,Por mejorar,Por mejorar,85.85,Ámbar,6.89,Ámbar,79.94,2024-07
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,07,2024-07,55.0,167.19315789473683,80.73421052631579,5.910625,78.94,83.5,88.77777777777777,15.7,17648.0,15655.0,150.0,0.0,8.94,150.0,67.5,87.78,Adecuado,Crítico,Crítico,Adecuado,Crítico,Por mejorar,79.94,Ámbar,6.83,Ámbar,72.7,2024-08
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,08,2024-08,50.0,168.43823529411765,81.33529411764705,5.903,77.52,80.76470588235294,89.8,15.294117647058824,19507.0,17432.0,100.0,0.0,9.7,150.0,53.82,98.0,Adecuado,Crítico,Crítico,Adecuado,Crítico,Por mejorar,72.7,Ámbar,6.92,Rojo,27.23,2024-09
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,09,2024-09,55.0,159.86190476190475,80.16428571428571,6.015625,61.46,73.63636363636364,85.78571428571429,13.5,12423.0,10553.0,150.0,0.0,0.0,7.6,18.18,57.86,Adecuado,Crítico,Crítico,Crítico,Crítico,Crítico,27.23,Rojo,6.92,Rojo,63.43,2024-10
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,10,2024-10,50.0,167.4175,80.843125,5.935625,77.82,78.6923076923077,83.77777777777777,13.692307692307692,15399.0,12897.0,100.0,0.0,6.44,150.0,43.46,37.78,Adecuado,Crítico,Crítico,Adecuado,Crítico,Crítico,63.43,Rojo,6.72,Rojo,49.45,2024-11
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,11,2024-11,50.0,159.58263157894737,80.02421052631578,5.995263157894737,72.67,72.21052631578948,86.66666666666667,12.736842105263158,8126.0,7057.0,100.0,0.0,0.47,119.7,11.05,66.67,Adecuado,Crítico,Crítico,Adecuado,Crítico,Crítico,49.45,Rojo,6.99,Rojo,42.04,2024-12
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2024,12,2024-12,45.0,164.19785714285715,79.28928571428571,6.036315789473684,68.91,79.07692307692308,90.33333333333333,14.307692307692308,16878.0,15199.0,0.0,0.0,0.0,82.1,45.38,101.67,Crítico,Crítico,Crítico,Por mejorar,Crítico,Adecuado,42.04,Rojo,6.77,Rojo,41.91,2025-01
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,01,2025-01,45.0,169.4664705882353,81.83235294117647,6.131666666666667,67.3,80.29411764705883,95.0909090909091,14.764705882352942,11332.0,10653.0,0.0,0.0,0.0,66.0,51.47,125.45,Crítico,Crítico,Crítico,Crítico,Crítico,Adecuado,41.91,Rojo,6.91,Rojo,56.59,2025-02
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,02,2025-02,45.0,149.3205,81.116,5.827894736842105,75.07,77.8,87.47058823529412,13.866666666666667,17334.0,15212.0,0.0,0.0,17.21,143.7,39.0,74.71,Crítico,Crítico,Crítico,Adecuado,Crítico,Por mejorar,56.59,Rojo,6.98,Rojo,33.57,2025-03
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,03,2025-03,45.0,166.985,80.63428571428571,5.964285714285714,67.12,77.33333333333333,87.63636363636364,13.722222222222221,11494.0,10059.0,0.0,0.0,3.57,64.2,36.67,76.36,Crítico,Crítico,Crítico,Crítico,Crítico,Por mejorar,33.57,Rojo,6.79,Rojo,39.55,2025-04
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,04,2025-04,45.0,159.64533333333333,80.05466666666666,5.964444444444444,68.69,83.9375,81.4375,15.5,15676.0,12779.0,0.0,0.0,3.56,79.9,69.69,14.38,Crítico,Crítico,Crítico,Por mejorar,Crítico,Crítico,39.55,Rojo,6.63,Rojo,50.7,2025-05
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,05,2025-05,50.0,169.026,81.6185,5.947777777777778,69.69,74.6875,92.64285714285714,13.1875,13687.0,12614.0,100.0,0.0,5.22,89.9,23.44,113.21,Adecuado,Crítico,Crítico,Por mejorar,Crítico,Adecuado,50.7,Rojo,6.96,Rojo,24.05,2025-06
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,06,2025-06,50.0,157.72894736842105,79.09473684210526,6.09375,60.76,76.57142857142857,85.6875,14.214285714285714,14937.0,12584.0,100.0,0.0,0.0,0.6,32.86,56.88,Adecuado,Crítico,Crítico,Crítico,Crítico,Crítico,24.05,Rojo,6.91,Ámbar,72.65,2025-07
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,07,2025-07,55.0,163.596,78.99733333333333,6.063888888888889,76.96,82.4,84.6470588235294,14.2,14977.0,12734.0,150.0,0.0,0.0,150.0,62.0,46.47,Adecuado,Crítico,Crítico,Adecuado,Crítico,Crítico,72.65,Ámbar,6.98,Rojo,32.9,2025-08
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,08,2025-08,55.0,165.05466666666666,79.70266666666667,6.173809523809524,61.87,76.0,87.47368421052632,13.571428571428571,18084.0,15795.0,150.0,0.0,0.0,11.7,30.0,74.74,Adecuado,Crítico,Crítico,Crítico,Crítico,Por mejorar,32.9,Rojo,7.0,Rojo,42.47,2025-09
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,09,2025-09,45.0,155.05666666666667,77.755,5.9206666666666665,68.55,82.38888888888889,85.76923076923077,15.11111111111111,11927.0,10290.0,0.0,0.0,7.93,78.5,61.94,57.69,Crítico,Crítico,Crítico,Por mejorar,Crítico,Crítico,42.47,Rojo,6.99,Rojo,38.6,2025-10
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,10,2025-10,45.0,162.42,78.42866666666667,5.835,67.83,79.66666666666667,85.38888888888889,15.0,17207.0,14651.0,0.0,0.0,16.5,71.3,48.33,53.89,Crítico,Crítico,Crítico,Por mejorar,Crítico,Crítico,38.6,Rojo,6.66,Rojo,66.34,2025-11
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,11,2025-11,50.0,154.12428571428572,77.28571428571429,6.002666666666666,73.9,85.47058823529412,84.0,16.058823529411764,16343.0,13651.0,100.0,0.0,0.0,132.0,77.35,40.0,Adecuado,Crítico,Crítico,Adecuado,Por mejorar,Crítico,66.34,Rojo,6.66,Rojo,65.26,2025-12
40107223,María Rodríguez Morales,Gestión de Reportes,Los Olivos,2021-08-03,Cesado,2025,12,2025-12,50.0,163.09666666666666,78.75611111111111,6.002941176470588,77.5,77.05882352941177,88.94117647058823,14.470588235294118,15123.0,13440.0,100.0,0.0,0.0,150.0,35.29,89.41,Adecuado,Crítico,Crítico,Adecuado,Crítico,Por mejorar,65.26,Rojo,6.77,Rojo,69.74,2026-01
